id,dose_clusters
STIEFEL_1169,1
STIEFEL_1170,2
STIEFEL_1180,1
STIEFEL_1181,2
STIEFEL_1182,3
STIEFEL_1186,2
STIEFEL_1189,0
STIEFEL_1191,2
STIEFEL_1197,3
STIEFEL_1198,3
STIEFEL_1200,0
STIEFEL_1201,1
STIEFEL_1203,2
STIEFEL_1225,3
STIEFEL_1227,2
STIEFEL_1231,2
STIEFEL_1237,2
STIEFEL_1239,2
STIEFEL_1240,1
STIEFEL_1262,1
STIEFEL_1267,0
STIEFEL_1270,1
STIEFEL_1277,2
STIEFEL_1280,2
STIEFEL_1284,1
STIEFEL_1285,1
STIEFEL_1288,0
STIEFEL_1290,2
STIEFEL_1291,2
STIEFEL_1297,2
STIEFEL_1302,1
STIEFEL_1308,2
STIEFEL_1313,2
STIEFEL_1337,1
STIEFEL_1340,1
STIEFEL_1342,0
STIEFEL_1346,1
STIEFEL_1355,3
STIEFEL_1357,1
STIEFEL_1358,0
STIEFEL_1359,3
STIEFEL_1360,0
STIEFEL_1363,1
STIEFEL_1364,1
STIEFEL_1370,2
STIEFEL_1372,1
STIEFEL_1373,2
STIEFEL_1375,0
STIEFEL_1377,3
STIEFEL_1378,2
STIEFEL_1379,2
STIEFEL_1384,2
STIEFEL_1386,3
STIEFEL_1389,3
STIEFEL_1401,1
STIEFEL_1434,0
STIEFEL_1436,2
STIEFEL_1451,1
STIEFEL_1495,1
STIEFEL_1519,2
STIEFEL_1547,1
STIEFEL_1548,3
STIEFEL_1551,0
STIEFEL_1569,2
STIEFEL_1570,1
STIEFEL_1577,1
STIEFEL_1581,1
STIEFEL_1583,3
STIEFEL_1592,1
STIEFEL_1607,0
STIEFEL_1608,3
STIEFEL_1611,2
STIEFEL_1612,1
STIEFEL_1617,2
STIEFEL_1618,1
STIEFEL_1621,1
STIEFEL_1622,2
STIEFEL_1623,3
STIEFEL_1624,3
STIEFEL_1625,2
STIEFEL_1626,1
STIEFEL_1632,2
STIEFEL_1634,1
STIEFEL_1635,1
STIEFEL_1636,3
STIEFEL_1637,1
STIEFEL_1640,3
STIEFEL_1643,1
STIEFEL_1645,0
STIEFEL_1648,1
STIEFEL_1658,2
STIEFEL_1683,2
STIEFEL_1701,0
STIEFEL_1708,1
STIEFEL_1709,3
STIEFEL_1759,1
STIEFEL_1898,1
STIEFEL_1918,0
STIEFEL_1927,0
STIEFEL_1949,0
STIEFEL_1950,2
STIEFEL_1986,1
STIEFEL_1988,3
STIEFEL_1996,1
STIEFEL_2002,2
STIEFEL_2039,1
STIEFEL_2043,1
STIEFEL_2047,1
STIEFEL_2051,2
STIEFEL_2066,2
STIEFEL_2078,1
STIEFEL_2080,0
STIEFEL_2081,2
STIEFEL_2087,3
STIEFEL_2095,2
STIEFEL_2099,2
STIEFEL_2119,1
