id,dose_clusters
STIEFEL_STIEFEL_1127,2
STIEFEL_STIEFEL_1394,1
STIEFEL_839,2
STIEFEL_855,2
STIEFEL_856,2
STIEFEL_859,2
STIEFEL_864,1
STIEFEL_866,1
STIEFEL_885,2
STIEFEL_887,1
STIEFEL_909,2
STIEFEL_934,1
STIEFEL_935,3
STIEFEL_945,2
STIEFEL_955,3
STIEFEL_965,1
STIEFEL_966,2
STIEFEL_967,0
STIEFEL_980,1
STIEFEL_985,2
STIEFEL_993,0
STIEFEL_1015,0
STIEFEL_1028,2
STIEFEL_1030,1
STIEFEL_1033,2
STIEFEL_1034,3
STIEFEL_1035,0
STIEFEL_1036,3
STIEFEL_1041,3
STIEFEL_1042,0
STIEFEL_1045,3
STIEFEL_1046,2
STIEFEL_1050,1
STIEFEL_1052,0
STIEFEL_1055,1
STIEFEL_1057,2
STIEFEL_1061,2
STIEFEL_1067,2
STIEFEL_1069,0
STIEFEL_1072,2
STIEFEL_1073,0
STIEFEL_1080,2
STIEFEL_1085,0
STIEFEL_1086,1
STIEFEL_1087,2
STIEFEL_1090,1
STIEFEL_1098,1
STIEFEL_1104,0
STIEFEL_1106,2
STIEFEL_1108,1
STIEFEL_1109,2
STIEFEL_1112,2
STIEFEL_1115,1
STIEFEL_1118,0
STIEFEL_1127,0
STIEFEL_1129,1
STIEFEL_1132,1
STIEFEL_1156,1
STIEFEL_1157,2
STIEFEL_1164,3
STIEFEL_1167,3
STIEFEL_1168,2
STIEFEL_1169,0
STIEFEL_1170,1
STIEFEL_1180,2
STIEFEL_1181,1
STIEFEL_1182,2
STIEFEL_1186,1
STIEFEL_1189,0
STIEFEL_1191,1
STIEFEL_1197,2
STIEFEL_1198,2
STIEFEL_1200,0
STIEFEL_1201,2
STIEFEL_1203,1
STIEFEL_1225,1
STIEFEL_1227,1
STIEFEL_1231,1
STIEFEL_1237,1
STIEFEL_1239,1
STIEFEL_1240,2
STIEFEL_1262,2
STIEFEL_1267,0
STIEFEL_1270,2
STIEFEL_1277,1
STIEFEL_1280,2
STIEFEL_1284,0
STIEFEL_1285,2
STIEFEL_1288,0
STIEFEL_1290,1
STIEFEL_1291,1
STIEFEL_1297,1
STIEFEL_1302,2
STIEFEL_1308,1
STIEFEL_1313,1
STIEFEL_1337,2
STIEFEL_1340,2
STIEFEL_1342,0
STIEFEL_1346,2
STIEFEL_1355,3
STIEFEL_1357,0
STIEFEL_1358,0
STIEFEL_1359,2
STIEFEL_1360,0
STIEFEL_1363,2
STIEFEL_1364,0
STIEFEL_1370,1
STIEFEL_1372,0
STIEFEL_1373,1
STIEFEL_1375,0
STIEFEL_1377,2
STIEFEL_1378,1
STIEFEL_1379,1
STIEFEL_1384,1
STIEFEL_1386,2
STIEFEL_1389,3
STIEFEL_1401,2
STIEFEL_1432,2
STIEFEL_1434,0
STIEFEL_1436,2
STIEFEL_1451,2
STIEFEL_1495,2
STIEFEL_1519,1
STIEFEL_1547,2
STIEFEL_1548,3
STIEFEL_1551,0
STIEFEL_1564,2
STIEFEL_1569,1
STIEFEL_1570,0
STIEFEL_1572,0
STIEFEL_1576,0
STIEFEL_1577,2
STIEFEL_1581,2
STIEFEL_1583,3
STIEFEL_1592,2
STIEFEL_1607,0
STIEFEL_1608,1
STIEFEL_1611,1
STIEFEL_1612,2
STIEFEL_1617,0
STIEFEL_1618,2
STIEFEL_1621,2
STIEFEL_1622,1
STIEFEL_1623,2
STIEFEL_1624,2
STIEFEL_1625,1
STIEFEL_1626,0
STIEFEL_1632,2
STIEFEL_1634,2
STIEFEL_1635,0
STIEFEL_1636,2
STIEFEL_1637,2
STIEFEL_1640,3
STIEFEL_1643,2
STIEFEL_1645,0
STIEFEL_1648,2
STIEFEL_1658,2
STIEFEL_1683,1
STIEFEL_1701,0
STIEFEL_1708,2
STIEFEL_1709,2
STIEFEL_1759,2
STIEFEL_1898,2
STIEFEL_1918,0
STIEFEL_1927,0
STIEFEL_1949,0
STIEFEL_1950,0
STIEFEL_1986,0
STIEFEL_1988,2
STIEFEL_1996,2
STIEFEL_2002,1
STIEFEL_2039,0
STIEFEL_2043,2
STIEFEL_2047,2
STIEFEL_2051,1
STIEFEL_2066,1
STIEFEL_2078,2
STIEFEL_2080,0
STIEFEL_2081,1
STIEFEL_2087,2
STIEFEL_2095,1
STIEFEL_2099,1
STIEFEL_2119,2
STIEFEL_2403,3
